Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-01,6429.556586330208,6478.637170958683,6414.832410941665,6444.28076171875,67362500,0,0
2021-09-02,6405.016059525516,6454.096642357129,6336.303243561258,6419.740234375,53257000,0,0
2021-09-03,6439.372253787878,6478.636718749999,6395.199730705492,6478.63671875,35764500,0,0
2021-09-06,6478.636971245248,6483.545029556797,6429.556388129753,6454.0966796875,36780000,0,0
2021-09-07,6473.728767569207,6483.54488397189,6449.188476562501,6449.1884765625,53902000,0,0
2021-09-08,6429.5563843531645,6473.728909131163,6301.946868327835,6321.5791015625,77888000,0,0
2021-09-09,6292.130614119578,6449.188476562501,6292.130614119578,6449.1884765625,110074000,0,0
2021-09-10,6375.567619089699,6444.2804340760395,6375.567619089699,6400.10791015625,41483500,0,0
2021-09-13,6439.3729023646065,6439.3729023646065,6405.0164920623565,6434.46484375,29929000,0,0
2021-09-14,6468.820963044309,6473.729021438121,6375.56785356188,6424.6484375,51990500,0,0
2021-09-15,6424.6484551668345,6429.5565135741435,6365.751754279133,6375.56787109375,44514000,0,0
2021-09-16,6459.004516225961,6459.004516225961,6360.843353365384,6380.4755859375,58672500,0,0
2021-09-17,6370.659560876389,6414.8320847961795,6360.84344444977,6400.10791015625,117540000,0,0
2021-09-20,6449.188423174118,6468.820655816961,6390.291725245587,6463.91259765625,73157500,0,0
2021-09-21,6390.2919011520125,6414.832192631091,6351.027434785487,6370.65966796875,57115500,0,0
2021-09-22,6380.47619898932,6459.005136823035,6380.47619898932,6434.46484375,68722000,0,0
2021-09-23,6434.4641042784715,6468.820510632361,6424.64798817736,6459.00439453125,60998500,0,0
2021-09-24,6380.4756089241655,6463.91259765625,6380.4756089241655,6463.91259765625,60539500,0,0
2021-09-27,6463.912452581806,6473.728568682917,6434.4641042784715,6459.00439453125,55052500,0,0
2021-09-28,6419.74014300949,6439.372375862729,6380.475677303009,6400.10791015625,80186000,0,0
2021-09-29,6400.107697924582,6459.00439453125,6395.199639874027,6459.00439453125,74079000,0,0
2021-09-30,6478.637067522322,6871.28173828125,6473.729009137835,6871.28173828125,156848000,0,0
2021-10-01,6773.120456672985,6773.120456672985,6586.614241199381,6635.69482421875,103954500,0,0
2021-10-04,6616.062999506106,6832.017578125,6616.062999506106,6832.017578125,74719000,0,0
2021-10-05,6782.936560700145,6817.292968750001,6733.855977771779,6817.29296875,54986500,0,0
2021-10-06,6851.649348776985,7047.9716796875,6841.833232231459,7047.9716796875,174312000,0,0
2021-10-07,7043.0640194003145,7043.0640194003145,6949.8109069483235,7028.33984375,107263500,0,0
2021-10-08,7067.603684413581,7165.764846697103,7043.0633938427,7155.94873046875,94643500,0,0
2021-10-11,7106.868598165058,7155.949182406529,7097.052481316764,7121.5927734375,47201000,0,0
